종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"37937925","500","18968962500","원(KRW)","나종천","02-888-1590","서울특별시 강남구 테헤란로 512 신안빌딩 17층"
"314130","지놈앤컴퍼니","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"14079521","500","7039760500","원(KRW)","배지수, 박한수, 서영진 (각자 대표이사)","031-628-0150","경기도 성남시 분당구 판교로255번길 35, B동 8층(삼평동, 판교실리콘파크) &nbsp"
"246710","티앤알바이오팹","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"20791964","500","10395982000","원(KRW)","윤원수","031-431-3344","경기도 시흥시 산기대학로 237, 540호(정왕동, 한국산업기술대학교 스마트허브 산학융합본부) &nbsp;"
"187420","제노포커스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"22525010","500","11262505000","원(KRW)","김의중","042-862-4483","대전광역시 유성구 테크노1로 65(관평동) "
"206650","유바이오로직스","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"36444807","500","18222403500","원(KRW)","백영옥, 최석근 (각자대표이사)","02-572-6675","서울특별시 강남구 도산대로 207 성도빌딩 8층 "
"298060","에스씨엠생명과학","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"12120570","500","6060285000","원(KRW)","손병관","032-881-3600","인천광역시 연수구 갯벌로145번길 7-7 (송도동, 에스씨엠생명과학(주))"
"179530","애드바이오텍","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"9140444","500","4570222000","원(KRW)","정홍걸","033-261-4907","강원도 춘천시 동내면 거두단지1길 39 &nbsp"
"220100","퓨쳐켐","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"13691971","500","6845985500","원(KRW)","지대윤","02-497-3114","서울특별시 성동구 성수일로8길 59 평화빌딩 B동 3층(성수동2가) "
"222110","팬젠","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"10677630","500","5338815000","원(KRW)","김영부, 윤재승","031-733-9165","경기도 수원시 영통구 신원로 306, 2동 4층(원천동 영통이노플렉스) &nbsp"
"166480","코아스템","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"15932133","500","7966066500","원(KRW)","김경숙","02-497-3711","경기도 성남시 분당구 판교로255번길 24 (삼평동)"
"334970","프레스티지바이오로직스","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"47320139","500","23660069500","원(KRW)","현덕훈","043-232-1552","충청북도 청주시 흥덕구 오송읍 오송생명1로 197 "
"175250","아이큐어","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"19001657","500","9500828500","원(KRW)","이영석, 이재범(공동대표)","02-6959-6909","서울특별시 강남구 봉은사로104길 10 7층 "
"208340","파멥신","KOSDAQ","기술성장기업부","기술성장기업","032102","의약품 제조업","12",,"25678786","500","12839393000","원(KRW)","유진산","042-863-2017","대전광역시 유성구 유성대로1689번길 70 KT대덕2연구센터 연구2동 2층"
"174900","앱클론","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"15318069","500","7659034500","원(KRW)","이종서","02-2109-1294","서울특별시 구로구 디지털로 285 에이스트윈타워 1차 1401호 "
"153710","옵티팜","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"14669958","500","7334979000","원(KRW)","김현일","043-249-7500","충청북도 청주시 흥덕구 오송읍 오송생명6로 63 "
"229000","젠큐릭스","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"6668588","500","3334294000","원(KRW)","조상래","02-2621-7038","서울특별시 구로구 디지털로 243 지하이시티 15층 "
"138610","나이벡","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"9957479","500","4978739500","원(KRW)","정종평","043-532-7458","충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지"
"246960","이노테라피","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"5422043","500","2711021500","원(KRW)","이문수","02-6959-1338","서울특별시 영등포구 선유로13길 25 에이스하이테크시티 2차 1209호 "
"352770","클리노믹스","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"13620141","100","1362014100","원(KRW)","정종태, 박종화(각자 대표이사)","070-8286-6966","울산광역시 울주군 언양읍 유니스트길 50, 110동 3층 301-3호(울산과학기술원) "
"216080","제테마","KOSDAQ","기술성장기업부","이익미실현기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"17802259","500","8901129500","원(KRW)","김재영","02-572-1331","강원도 원주시 지정면 조엄로 321 &nbsp;"
"228760","지노믹트리","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"20727202","500","10363601000","원(KRW)","안성환","042-861-4551","대전광역시 유성구 테크노10로 44-6 "
"304840","피플바이오","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"11752680","500","5876340000","원(KRW)","강성민","031-526-7825","경기도 성남시 분당구 판교로 242, C동 6층 "
"086890","이수앱지스","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"33182668","500","16591334000","원(KRW)","황엽","031-696-4700","경기도 성남시 분당구 대왕판교로712번길 22, 씨동 5층
(삼평동, 글로벌알앤디센터) "
"253840","수젠텍","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"16238809","500","8119404500","원(KRW)","손미진","043-710-2884","대전광역시 유성구 유성대로1689번길 70 연구1동 지상2층(전민동,KT대덕2연구센터) "
"059270","해성티피씨","KOSDAQ","기술성장기업부","기술성장기업","032509","기타 금속 가공제품 제조업","12",,"9460000","500","4730000000","원(KRW)","이건복,이정훈(각자 대표)","032-820-3412","인천광역시 남동구 능허대로 551 "
"317120","라닉스","KOSDAQ","기술성장기업부","기술성장기업","032601","반도체 제조업","12",,"9660000","500","4906920000","원(KRW)","최승욱","02-584-5516","서울특별시 강남구 언주로135길 25 (논현동) "
"365590","하이딥","KOSDAQ","기술성장기업부","기술성장기업","032601","반도체 제조업","12",,"137457352","100","13745735200","원(KRW)","고범규","031-717-5775","경기도 성남시 분당구 대왕판교로644번길 49 다산타워 3층"
"396270","넥스트칩","KOSDAQ","기술성장기업부","기술성장기업","032601","반도체 제조업","12",,"17384240","500","8692120000","원(KRW)","김경수","02-3460-4594","경기도 성남시 분당구 판교역로 230, 비동 10층 "
"123010","아이윈플러스","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"118636752","100","11863675200","원(KRW)","이준식, 박기홍(각자 대표이사)","043-218-7866","충청북도 청주시 흥덕구 옥산면 과학산업1로 114 &nbsp"
"357580","아모센스","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"11200076","500","5614643000","원(KRW)","김인응","041-590-5700","충청남도 천안시 서북구 직산읍 모시리 308 천안 제4지방산업단지 19-1블럭"
"311320","지오엘리먼트","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"6307280","500","3153640000","원(KRW)","신현국","031-611-9123","경기도 안성시 금석3길 30 "
"371950","풍원정밀","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"21040488","500","10520244000","원(KRW)","유명훈","031-493-2107","경기도 안산시 단원구 산단로35번길 24 "
"125210","아모그린텍","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"16496790","500","8248395000","원(KRW)","양성철, 김병규(각자대표)","031-987-3383","경기도 김포시 통진읍 김포대로1950번길 91 "
"361670","삼영에스앤씨","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"5667658","500","2833829000","원(KRW)","박상익","031-741-1830","경기도 성남시 중원구 둔촌대로 446 &nbsp"
"247660","나노씨엠에스","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"4288920","500","2144460000","원(KRW)","김시석","041-587-3901","충청남도 천안시 서북구 직산읍 4산단4로 48 "
"252990","샘씨엔에스","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"50153846","500","25076923000","원(KRW)","최유진, 김헌태","031-546-7000","경기도 성남시 분당구 판교로255번길 35(삼평동, 실리콘파크1F) &nbsp"
"361390","제노코","KOSDAQ","기술성장기업부","기술성장기업","032604","통신 및 방송 장비 제조업","12",,"7500789","500","3782394500","원(KRW)","유태삼","031-428-6000","경기도 군포시 농심로72번길 1 (당정동,제노코빌딩) "
"363250","진시스템","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"6920780","500","3460390000","원(KRW)","서유진","042-863-8551","대전광역시 유성구 테크노2로 200-9 "
"214610","미코바이오메드","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"18308101","500","9154050500","원(KRW)","김성우","070-5227-6000","경기도 성남시 수정구 창업로 54 가동 3층, 4층 "
"226400","오스테오닉","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"17139354","500","8569677000","원(KRW)","이동원","02-6902-8400","서울특별시 구로구 디지털로29길 38 에이스테크노타워Ⅲ1206호 "
"058110","멕아이씨에스","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"16050530","500","8025265000","원(KRW)","김종철","070-7119-2500","경기도 파주시 상지석길 21 "
"294090","이오플로우","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"30303521","100","3030352100","원(KRW)","김재진","031-724-0241","경기도 성남시 분당구 돌마로 172 에이치동 2202호(정자동,분당서울대학교병원 헬스케어혁신파)"
"305090","마이크로디지탈","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"14744200","500","7372100000","원(KRW)","김경남","031-701-2225","경기도 성남시 분당구 판교로228번길 15 제윈스동 701호"
"335810","프리시젼바이오","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"11575726","500","5787863000","원(KRW)","김한신","042-867-6300","대전시 유성구 테크노2로 306 "
"104540","코렌텍","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"12348320","500","6174160000","원(KRW)","선두훈,선승훈,선경훈(각자 대표이사)","041-585-7114","충청남도 천안시 서북구 입장면 영산홍1길 12 "
"302550","리메드","KOSDAQ","기술성장기업부","이익미실현기업","032701","의료용 기기 제조업","12",,"6127616","500","3063808000","원(KRW)","-","031-696-4899","대전광역시 유성구 테크노2로 187 미건테크노월드2차 301호~303호"
"376930","노을","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"11453530","500","5726765000","원(KRW)","임찬양(단독 대표이사)","031-308-6310","경기도 용인시 수지구 광교중앙로 338, 비동 10층 &nbsp"
"290660","네오펙트","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"19240617","500","9620308500","원(KRW)","반호영","031-889-8521","경기도 성남시 수정구 창업로 42 판교제2테크노밸리 경기기업성장센터 801호"
"336570","원텍","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"87036951","100","8703695100","원(KRW)","김종원, 김정현","02-769-3635","대전광역시 유성구 테크노8로 64 (용산동)"
"314930","바이오다인","KOSDAQ","기술성장기업부","이익미실현기업","032701","의료용 기기 제조업","12",,"6168195","500","3084097500","원(KRW)","임욱빈","070-4185-8605","서울특별시 성동구 아차산로5길 24-4 "
"317690","퀀타매트릭스","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"16479411","500","8239705500","원(KRW)","권성훈","02-6956-3458","서울특별시 금천구 가산디지털1로 131 B동 16층(가산동, 비와이씨하이시티) "
"056090","이노시스","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"76185130","500","38092565000","원(KRW)","최도영","031-860-6800","경기도 의정부시 산단로76번길 20 &nbsp"
"370090","퓨런티어","KOSDAQ","기술성장기업부","기술성장기업","032702","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","12",,"7965980","500","4053175000","원(KRW)","배상신","070-4618-6100","경기도 성남시 중원구 사기막골로 58 "
"347000","센코","KOSDAQ","기술성장기업부","기술성장기업","032702","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","12",,"8251244","500","4523122000","원(KRW)","하승철","031-492-0445","경기도 오산시 외삼미로15번길 73 &nbsp"
"238120","얼라인드","KOSDAQ","기술성장기업부","기술성장기업","032703","사진장비 및 광학기기 제조업","12",,"7189448","500","3594724000","원(KRW)","정연철","031-478-4185","경기도 안양시 동안구 시민대로327번길 28 (관양동) 2층,3층 "
"377330","이지트로닉스","KOSDAQ","기술성장기업부","기술성장기업","032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","12",,"7965454","500","4002727000","원(KRW)","강찬호","02-881-9800","경기도 화성시 금곡로163번길 63-100 "
"294630","서남","KOSDAQ","기술성장기업부","기술성장기업","032809","기타 전기장비 제조업","12",,"21389160","500","10694580000","원(KRW)","문승현","031-655-4336","경기도 안성시 원곡면 승량길 52 &nbsp"
"348210","넥스틴","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"9956674","500","4978337000","원(KRW)","박태훈","031-629-2300","경기도 화성시 동탄산단9길 23-12 "
"108490","로보티즈","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"11932423","500","5966211500","원(KRW)","김병수","070-8671-2600","서울특별시 강서구 마곡중앙5로1길 37 &nbsp"
"277810","레인보우로보틱스","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"16135214","500","8067607000","원(KRW)","이정호","042-719-8070","대전광역시 유성구 엑스포로339번길 10-19 "
"232680","라온테크","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"12480734","500","6240367000","원(KRW)","김원경","031-201-0000","경기도 수원시 권선구 산업로156번길 88-4 &nbsp"
"277880","티에스아이","KOSDAQ","기술성장기업부","이익미실현기업","032902","특수 목적용 기계 제조업","12",,"18643352","500","9321676000","원(KRW)","표인식","031-667-2623","경기도 화성시 향남읍 발안로 702-66 "
"254120","자비스","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"22182217","100","2218221700","원(KRW)","김형철","031-740-3820","경기도 성남시 중원구 사기막골로 177 금강하이테크밸리 619호"
"412350","레이저쎌","KOSDAQ","기술성장기업부","기술성장기업","032902","특수 목적용 기계 제조업","12",,"8425772","500","4212886000","원(KRW)","안건준","031-8060-3226","충청남도 아산시 배방읍 호서로79번길 20, 1층 "
"222160","바이옵트로","KOSDAQ","기술성장기업부","신속이전기업","032902","특수 목적용 기계 제조업","03",,"8143866","500","4150086500","원(KRW)","김완수","031-8005-5155","경기도 용인시 기흥구 탑실로58번길 14 &nbsp"
"274090","켄코아에어로스페이스","KOSDAQ","기술성장기업부","이익미실현기업","033103","항공기,우주선 및 부품 제조업","12",,"12247648","500","6123824000","원(KRW)","케네스민규리","055-855-4130","경상남도 사천시 사남면 외국기업로 152-44 "
"317870","엔바이오니아","KOSDAQ","기술성장기업부","기술성장기업","033309","그외 기타 제품 제조업","12",,"7875151","500","3937575500","원(KRW)","한정철","031-716-3670","충청북도 제천시 한방엑스포로 85, 85-1(왕암동) (주)엔바이오니아"
"368600","아이씨에이치","KOSDAQ","기술성장기업부","기술성장기업","033309","그외 기타 제품 제조업","12",,"5664755","500","2832377500","원(KRW)","김영훈","070-4187-2061","경기도 군포시 벌새전리길 13(당정동) "
"102370","케이옥션","KOSDAQ","기술성장기업부","이익미실현기업","074601","상품 중개업","12",,"27174135","500","13587067500","원(KRW)","도현순","02-3479-8888","서울특별시 강남구 언주로172길 23, 신사동 아트타워 "
"065660","안트로젠","KOSDAQ","기술성장기업부","기술성장기업","074607","기타 전문 도매업","12",,"9731373","500","4865686500","원(KRW)","이성구, 김미형(각자대표)","02-2104-0391","서울특별시 금천구 디지털로 130, 405호(가산동, 남성플라자) &nbsp"
"279600","미디어젠","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"4684781","500","2342390500","원(KRW)","고훈","02-6429-7171","경기도 성남시 분당구 성남대로331번길 8 킨스타워(정자동) 11층 1103호실 "
"148780","비플라이소프트","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"31445725","500","15722862500","원(KRW)","임경환","02-3487-0215","서울특별시 중구 퇴계로 385 준타워 9층 "
"402030","코난테크놀로지","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"5680444","500","2840222000","원(KRW)","김영섬","02-3469-8500","서울특별시 서초구 강남대로 327 대륭서초타워 6,7층 "
"322510","제이엘케이","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"15248264","100","1524826400","원(KRW)","김동민","070-4651-4051","충청북도 청주시 청원구 오창읍 양청송대길 10 청주미래누리터(지식산업센터) 204호 "
"376980","원티드랩","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"9438136","500","4719068000","원(KRW)","이복기","02-539-7118","서울특별시 송파구 올림픽로 300 35층 &nbsp"
"321820","와이더플래닛","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"6908282","500","3454141000","원(KRW)","구교식","02-2038-3266","서울특별시 강남구 테헤란로 211, 8층 &nbsp"
"058970","엠로","KOSDAQ","기술성장기업부","신속이전기업","105802","소프트웨어 개발 및 공급업","12",,"11212120","500","5970377000","원(KRW)","송재민","02-785-9848","서울특별시 영등포구 당산로41길 11, SK V1센터 E동 5층 &nbsp"
"304100","솔트룩스","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"10201330","500","5100665000","원(KRW)","이경일","02-2193-1600","서울특별시 강남구 언주로 538 &nbsp"
"301300","바이브컴퍼니","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"5580180","500","2790090000","원(KRW)","이재용","02-565-0531","서울특별시 용산구 독서당로 97 (한남동) "
"347700","라이프시맨틱스","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"10227950","500","5113975000","원(KRW)","송승재","1661-2858","서울특별시 강남구 언주로 533 &nbsp"
"376300","디어유","KOSDAQ","기술성장기업부","이익미실현기업","105802","소프트웨어 개발 및 공급업","12",,"23130206","500","11565103000","원(KRW)","안종오","02-6203-1220","서울특별시 강남구 삼성로 633, 4층(삼성동, 삼광빌딩) &nbsp"
"338220","뷰노","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"11379656","100","1137965600","원(KRW)","이예하","02-515-6646","서울특별시 서초구 강남대로 479 9층"
"347860","알체라","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"13950944","500","6975472000","원(KRW)","황영규","031-697-8962","경기도 성남시 분당구 판교로256번길 25 7층(삼평동) "
"276040","스코넥","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"12360824","500","6180412000","원(KRW)","황대실","02-458-3742","서울특별시 강남구 선릉로 577, 9층(역삼동, 조선내화빌딩) &nbsp"
"377480","마인즈랩","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"6079208","500","3039604000","원(KRW)","유태준","1661-3222","경기도 성남시 분당구 대왕판교로644번길 49 다산타워5층"
"328130","루닛","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"12223478","500","6111739000","원(KRW)","서범석","02-2138-0827","서울특별시 강남구 강남대로 374 4층~9층(역삼동, 케이스퀘어 강남II) "
"226330","신테카바이오","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"13517716","500","6758858000","원(KRW)","정종선","070-7663-0958","대전광역시 유성구 엑스포로 1 1903호(도룡동, 엑스포타워) "
"315640","딥노이드","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"9317134","500","4658567000","원(KRW)","최우식","02-6952-6001","서울특별시 구로구 디지털로33길 55 13층, 1305호"
